rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20161481,군함도,2017-07-26,2967903300,48.6,-510534700,-14.7,37723807840,402094,-66046,-14.1,4940314,1848,9518,2017-08-01,
2,2,0,OLD,20173403,슈퍼배드 3,2017-07-26,1687174300,27.6,-157367800,-8.5,12595831120,242820,-21270,-8.1,1732749,997,4159,2017-08-01,
3,3,0,OLD,20164621,덩케르크,2017-07-20,755057300,12.4,-55455400,-6.8,20280516133,89585,-6823,-7.1,2365485,691,2122,2017-08-01,
4,4,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,252998700,4.1,-10304600,-3.9,58674983320,34024,-1378,-3.9,7201425,497,893,2017-08-01,
5,5,0,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,130169300,2.1,10323600,8.6,1995735600,19491,1717,9.7,274381,263,375,2017-08-01,
6,6,1,OLD,20174801,내 사랑,2017-07-12,48192200,0.8,8021900,20,1735226825,7810,1498,23.7,228365,99,181,2017-08-01,
7,7,-1,OLD,20177181,47 미터,2017-07-19,54030100,0.9,-3557300,-6.2,4671184757,7384,-376,-4.8,588045,323,473,2017-08-01,
8,8,-1,OLD,20177501,플립,2017-07-12,44442000,0.7,-2438600,-5.2,2708682900,5927,-385,-6.1,340956,124,246,2017-08-01,
9,9,0,OLD,20175522,카3: 새로운 도전,2017-07-13,26302900,0.4,919700,3.6,3547755401,3893,185,5,480313,74,89,2017-08-01,
10,10,1,OLD,20162442,청년경찰,2017-08-09,28296000,0.5,5551000,24.4,168347200,3537,784,28.5,20548,18,18,2017-08-01,
1,1,0,OLD,20161481,군함도,2017-07-26,2967903300,98.7,-510534700,-14.7,37723807840,402094,-66046,-14.1,4940314,1848,9518,2017-08-01,K
2,2,0,OLD,20162442,청년경찰,2017-08-09,28296000,0.9,5551000,24.4,168347200,3537,784,28.5,20548,18,18,2017-08-01,K
3,3,0,NEW,20160021,달기, ,910000,0.0,910000,100,3235000,455,455,100,1615,1,5,2017-08-01,K
4,4,6,OLD,20154427,불온한 당신,2017-07-20,1733500,0.1,900000,108,17917200,194,88,83,2536,13,15,2017-08-01,K
5,5,10,OLD,20160746,파밍 보이즈,2017-07-13,1044000,0.0,807000,340.5,18908200,168,138,460,2743,6,6,2017-08-01,K
6,6,1,OLD,20178982,박열,2017-06-28,1089000,0.0,268000,32.6,18069564795,157,20,14.6,2354625,6,8,2017-08-01,K
7,7,2,OLD,20174602,노무현입니다,2017-05-25,650000,0.0,-17000,-2.5,14544212612,115,3,2.7,1852872,5,5,2017-08-01,K
8,8,0,NEW,20081003,박쥐,2009-04-30,829000,0.0,829000,100,14843219000,114,114,100,2206505,1,1,2017-08-01,K
9,9,-5,OLD,20179732,그 여자의 죄가 아니다, ,188000,0.0,-188000,-50,564000,94,-94,-50,282,1,3,2017-08-01,K
10,10,0,NEW,20000044,공동경비구역 JSA,2000-09-08,733000,0.0,733000,100,6803200,89,89,100,906,1,1,2017-08-01,K
1,1,0,OLD,20173403,슈퍼배드 3,2017-07-26,1687174300,54.4,-157367800,-8.5,12595831120,242820,-21270,-8.1,1732749,997,4159,2017-08-01,F
2,2,0,OLD,20164621,덩케르크,2017-07-20,755057300,24.3,-55455400,-6.8,20280516133,89585,-6823,-7.1,2365485,691,2122,2017-08-01,F
3,3,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,252998700,8.2,-10304600,-3.9,58674983320,34024,-1378,-3.9,7201425,497,893,2017-08-01,F
4,4,0,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,130169300,4.2,10323600,8.6,1995735600,19491,1717,9.7,274381,263,375,2017-08-01,F
5,5,1,OLD,20174801,내 사랑,2017-07-12,48192200,1.6,8021900,20,1735226825,7810,1498,23.7,228365,99,181,2017-08-01,F
6,6,-1,OLD,20177181,47 미터,2017-07-19,54030100,1.7,-3557300,-6.2,4671184757,7384,-376,-4.8,588045,323,473,2017-08-01,F
7,7,-1,OLD,20177501,플립,2017-07-12,44442000,1.4,-2438600,-5.2,2708682900,5927,-385,-6.1,340956,124,246,2017-08-01,F
8,8,0,OLD,20175522,카3: 새로운 도전,2017-07-13,26302900,0.8,919700,3.6,3547755401,3893,185,5,480313,74,89,2017-08-01,F
9,9,0,OLD,20176562,예수는 역사다,2017-07-13,24625700,0.8,1324400,5.7,1022761300,3415,45,1.3,142670,63,81,2017-08-01,F
10,10,0,OLD,20178646,송 투 송,2017-07-26,10342700,0.3,-1779500,-14.7,134769200,1377,-268,-16.3,17643,81,140,2017-08-01,F
1,1,0,NEW,20162869,택시운전사,2017-08-02,5116354700,53.4,5116354700,100,5687344800,698088,698088,100,784801,1446,7068,2017-08-02,
2,2,-1,OLD,20161481,군함도,2017-07-26,1826982300,19.1,-1140921000,-38.4,39550790140,248200,-153894,-38.3,5188514,1109,4924,2017-08-02,
3,3,-1,OLD,20173403,슈퍼배드 3,2017-07-26,1307515600,13.6,-379658700,-22.5,13903346720,189977,-52843,-21.8,1922726,844,2986,2017-08-02,
4,4,11,OLD,20170124,명탐정 코난:진홍의 연가,2017-08-02,645190000,6.7,638854000,10082.9,664845000,94241,93185,8824.3,96959,546,1129,2017-08-02,
5,5,-2,OLD,20164621,덩케르크,2017-07-20,371246800,3.9,-383810500,-50.8,20651762933,40643,-48942,-54.6,2406128,438,951,2017-08-02,
6,6,-1,OLD,20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,2017-07-20,55231300,0.6,-74938000,-57.6,2050966900,8308,-11183,-57.4,282689,123,145,2017-08-02,
7,7,-3,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,60191300,0.6,-192807400,-76.2,58735174620,8123,-25901,-76.1,7209548,117,187,2017-08-02,
8,8,0,NEW,20179186,이모티: 더 무비,2017-08-02,46349500,0.5,46349500,100,47557500,6710,6710,100,6861,126,264,2017-08-02,
