rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20175222,킹스맨: 골든 서클,2017-09-27,5369227400,62.9,82491380,1.6,18908661696,619904,1020,0.2,2350671,1678,8530,2017-10-01,
2,2,0,OLD,20174142,아이 캔 스피크,2017-09-21,1848068600,21.7,233861820,14.5,12768712714,226757,23857,11.8,1649352,897,4262,2017-10-01,
3,3,0,OLD,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,298315100,3.5,2903700,1,688405300,39598,-229,-0.6,93109,485,963,2017-10-01,
4,4,0,OLD,20170364,레고 닌자고 무비,2017-09-28,245057000,2.9,12295300,5.3,567461300,32228,1027,3.3,75256,459,828,2017-10-01,
5,5,0,OLD,20154909,살인자의 기억법,2017-09-06,235672700,2.8,29726600,14.4,21109814192,28608,3022,11.8,2622858,460,935,2017-10-01,
6,6,1,OLD,20171962,킬러의 보디가드,2017-08-30,84443500,1.0,12404400,17.2,13570198600,14014,2321,19.8,1645640,162,274,2017-10-01,
7,7,-1,OLD,20171090,베이비 드라이버,2017-09-14,104083100,1.2,5639820,5.7,6533886214,12584,466,3.8,801579,280,476,2017-10-01,
8,8,0,OLD,20172627,리틀 프린세스 소피아 : 신비한 섬,2017-09-28,60569000,0.7,10064000,19.9,126918500,8599,1407,19.6,17783,129,262,2017-10-01,
9,9,1,OLD,20173945,인비저블 게스트,2017-09-21,52774100,0.6,6234700,13.4,656899100,6275,557,9.7,81574,103,178,2017-10-01,
10,10,-1,OLD,20166132,김광석,2017-08-30,48533200,0.6,-1750900,-3.5,654930100,5738,-348,-5.7,82945,123,212,2017-10-01,
1,1,0,OLD,20174142,아이 캔 스피크,2017-09-21,1848068600,84.2,233861820,14.5,12768712714,226757,23857,11.8,1649352,897,4262,2017-10-01,K
2,2,0,OLD,20154909,살인자의 기억법,2017-09-06,235672700,10.7,29726600,14.4,21109814192,28608,3022,11.8,2622858,460,935,2017-10-01,K
3,3,0,OLD,20166132,김광석,2017-08-30,48533200,2.2,-1750900,-3.5,654930100,5738,-348,-5.7,82945,123,212,2017-10-01,K
4,4,1,OLD,20169463,다시 태어나도 우리,2017-09-27,18953500,0.9,4699700,33,65379643,2354,541,29.8,8729,118,146,2017-10-01,K
5,5,3,OLD,20172742,범죄도시,2017-10-03,16860700,0.8,11499500,214.5,257061600,1864,1264,210.7,30408,13,13,2017-10-01,K
6,6,0,OLD,20171923,저수지 게임,2017-09-07,6844600,0.3,-2200700,-24.3,958142000,853,-350,-29.1,121747,32,48,2017-10-01,K
7,7,2,OLD,20162869,택시운전사,2017-08-02,6257000,0.3,2047300,48.6,95824115649,817,290,55,12182167,27,38,2017-10-01,K
8,8,-1,OLD,20172642,여배우는 오늘도,2017-09-14,3091500,0.1,-3659300,-54.2,110822000,385,-404,-51.2,13343,24,27,2017-10-01,K
9,9,7,OLD,20162442,청년경찰,2017-08-09,1861000,0.1,639000,52.3,44374980016,245,87,55.1,5652512,8,11,2017-10-01,K
10,10,4,OLD,20178647,땐뽀걸즈,2017-09-27,1817800,0.1,423000,30.3,10016500,221,49,28.5,1370,15,19,2017-10-01,K
