rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20178982,박열,2017-06-28,2746194244,48.4,1346084118,96.1,6516658370,330776,156640,90,867373,1176,5812,2017-07-01,
2,2,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,1293840000,22.8,751510900,138.6,18786973328,151334,87407,136.7,2277287,877,3575,2017-07-01,
3,3,0,OLD,20159647,리얼,2017-06-28,550755256,9.7,170967382,45,2268094130,67807,21216,45.5,322987,735,2826,2017-07-01,
4,4,0,OLD,20158485,옥자,2017-06-29,291290500,5.1,128671700,79.1,663847900,37281,16019,75.3,86760,111,399,2017-07-01,
5,5,1,OLD,20166488,미이라,2017-06-06,134266700,2.4,67866800,102.2,30171256778,15977,7706,93.2,3644926,314,580,2017-07-01,
6,6,-1,OLD,20166384,하루,2017-06-15,111680244,2.0,38744218,53.1,8838035942,13441,4235,46,1099119,420,891,2017-07-01,
7,7,0,OLD,20176961,지랄발광 17세,2017-06-28,80227300,1.4,24784400,44.7,228136900,9410,2773,41.8,29410,84,384,2017-07-01,
8,8,0,OLD,20162343,악녀,2017-06-08,66880700,1.2,28138600,72.6,9569627444,7910,3088,64,1185785,233,420,2017-07-01,
9,9,6,OLD,20178121,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,50438200,0.9,43862700,667.1,66697100,6935,5943,599.1,9264,277,392,2017-07-01,
10,10,19,OLD,20175821,언더더씨,2017-06-22,42139200,0.7,40090700,1957.1,230721200,5413,5106,1663.2,30016,109,171,2017-07-01,
1,1,0,OLD,20178982,박열,2017-06-28,2746194244,77.7,1346084118,96.1,6516658370,330776,156640,90,867373,1176,5812,2017-07-01,K
2,2,0,OLD,20159647,리얼,2017-06-28,550755256,15.6,170967382,45,2268094130,67807,21216,45.5,322987,735,2826,2017-07-01,K
3,3,0,OLD,20166384,하루,2017-06-15,111680244,3.2,38744218,53.1,8838035942,13441,4235,46,1099119,420,891,2017-07-01,K
