rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,997923900,49.1,-82224350,-7.6,20960702124,129636,-11070,-7.9,2637562,1431,7315,2017-11-01,
2,2,0,OLD,20172742,범죄도시,2017-10-03,484800300,23.9,-60658100,-11.1,49537155304,64455,-8802,-12,6057149,728,3153,2017-11-01,
3,3,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,163485500,8.1,7824800,5,2018343600,21004,876,4.4,259484,189,901,2017-11-01,
4,4,0,OLD,20173694,지오스톰,2017-10-19,93288600,4.6,-14691100,-13.6,8366214421,12792,-1984,-13.4,1011971,462,1239,2017-11-01,
5,5,0,OLD,20164424,대장 김창수,2017-10-19,36897600,1.8,1843400,5.3,2833495615,5347,-146,-2.7,374290,316,546,2017-11-01,
6,6,23,OLD,20070454,원스,2007-09-20,37443100,1.8,35000600,1433,1631456600,4909,4536,1216.1,239296,136,399,2017-11-01,
7,7,-1,OLD,20165450,남한산성,2017-10-03,23035400,1.1,-8458000,-26.9,31150223892,3296,-1469,-30.8,3838167,215,342,2017-11-01,
8,8,1,OLD,20176767,"나는 내일, 어제의 너와 만난다",2017-10-12,17068000,0.8,1936000,12.8,1281290100,2756,305,12.4,165632,127,293,2017-11-01,
9,9,4,OLD,20174142,아이 캔 스피크,2017-09-21,15255900,0.8,2992100,24.4,25444455686,2365,489,26.1,3264836,80,112,2017-11-01,
10,10,-2,OLD,20175208,뷰티풀 투모로우,2017-10-26,17772900,0.9,-3242000,-15.4,298670900,2204,-461,-17.3,34357,37,76,2017-11-01,
1,1,0,OLD,20172742,범죄도시,2017-10-03,484800300,75.7,-60658100,-11.1,49537155304,64455,-8802,-12,6057149,728,3153,2017-11-01,K
2,2,0,OLD,20164424,대장 김창수,2017-10-19,36897600,5.8,1843400,5.3,2833495615,5347,-146,-2.7,374290,316,546,2017-11-01,K
3,3,0,OLD,20165450,남한산성,2017-10-03,23035400,3.6,-8458000,-26.9,31150223892,3296,-1469,-30.8,3838167,215,342,2017-11-01,K
4,4,5,OLD,20174142,아이 캔 스피크,2017-09-21,15255900,2.4,2992100,24.4,25444455686,2365,489,26.1,3264836,80,112,2017-11-01,K
5,5,0,OLD,20175208,뷰티풀 투모로우,2017-10-26,17772900,2.8,-3242000,-15.4,298670900,2204,-461,-17.3,34357,37,76,2017-11-01,K
6,6,0,NEW,20171885,노트르담 드 파리,2017-11-01,16065500,2.5,16065500,100,24435500,1402,1402,100,2137,36,63,2017-11-01,K
7,7,9,OLD,20175441,채비,2017-11-09,11184000,1.7,9828000,724.8,21674000,1398,1172,518.6,2937,6,6,2017-11-01,K
8,8,0,OLD,20164481,유리정원,2017-10-25,8759000,1.4,-5877500,-40.2,148014500,1275,-926,-42.1,21155,249,387,2017-11-01,K
9,9,4,OLD,20171817,넛잡 2,2017-10-03,3698000,0.6,2533500,217.6,2976213700,610,346,131.1,398053,48,58,2017-11-01,K
10,10,1,OLD,20178461,내 친구 정일우,2017-10-26,3177000,0.5,313300,10.9,41208000,493,62,14.4,5793,78,114,2017-11-01,K
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,997923900,71.8,-82224350,-7.6,20960702124,129636,-11070,-7.9,2637562,1431,7315,2017-11-01,F
2,2,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,163485500,11.8,7824800,5,2018343600,21004,876,4.4,259484,189,901,2017-11-01,F
3,3,0,OLD,20173694,지오스톰,2017-10-19,93288600,6.7,-14691100,-13.6,8366214421,12792,-1984,-13.4,1011971,462,1239,2017-11-01,F
4,4,14,OLD,20070454,원스,2007-09-20,37443100,2.7,35000600,1433,1631456600,4909,4536,1216.1,239296,136,399,2017-11-01,F
5,5,-1,OLD,20176767,"나는 내일, 어제의 너와 만난다",2017-10-12,17068000,1.2,1936000,12.8,1281290100,2756,305,12.4,165632,127,293,2017-11-01,F
6,6,2,OLD,20174103,배저로와 친구들: 신비한 모험,2017-10-26,6336000,0.5,1017500,19.1,139706600,1051,196,22.9,19578,118,134,2017-11-01,F
7,7,0,NEW,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,2017-11-09,8032000,0.6,8032000,100,8032000,1004,1004,100,1004,5,5,2017-11-01,F
8,8,-1,OLD,20171423,빅토리아 & 압둘,2017-10-25,5212500,0.4,-1157500,-18.2,65097278,758,-195,-20.5,9127,117,153,2017-11-01,F
9,9,0,OLD,19950290,매디슨 카운티의 다리,1995-09-23,5180000,0.4,94000,1.8,55628522,724,-49,-6.3,8073,51,83,2017-11-01,F
10,10,-5,OLD,20038755,루터,2017-10-18,4363600,0.3,-2829900,-39.3,148999800,701,-489,-41.1,20666,22,33,2017-11-01,F
1,1,30,OLD,20172603,부라더,2017-11-02,746500200,27.1,744460200,36493.1,940741900,100941,100601,29588.5,125883,712,3426,2017-11-02,
2,2,-1,OLD,20175121,토르: 라그나로크,2017-10-25,783942000,28.4,-213981900,-21.4,21744644124,99572,-30064,-23.2,2737134,1000,4818,2017-11-02,
3,3,38,OLD,20169643,침묵,2017-11-02,420845300,15.3,419791300,39828.4,478576200,57510,57378,43468.2,63842,612,2581,2017-11-02,
4,4,-2,OLD,20172742,범죄도시,2017-10-03,343228200,12.4,-141572100,-29.2,49880383504,45275,-19180,-29.8,6102424,550,1947,2017-11-02,
5,5,0,NEW,20173724,직쏘,2017-11-02,142638500,5.2,142638500,100,148014500,17581,17581,100,18253,171,762,2017-11-02,
6,6,-3,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,89061400,3.2,-74424100,-45.5,2107405000,11352,-9652,-46,270836,182,576,2017-11-02,
