rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20165748,꾼,2017-11-22,1152412273,35.2,253979073,28.3,18971313621,141883,17484,14.1,2466217,981,4734,2017-12-01,
2,2,0,OLD,20173581,기억의 밤,2017-11-29,719096972,21.9,216855572,43.2,1825549872,89649,20321,29.3,263358,728,3369,2017-12-01,
3,3,0,OLD,20178581,오리엔트 특급 살인,2017-11-29,578369155,17.7,137352755,31.1,1585473455,70962,10198,16.8,227167,663,2914,2017-12-01,
4,4,0,OLD,20161762,반드시 잡는다,2017-11-29,304962845,9.3,40260745,15.2,986335645,38542,1116,3,143142,565,2452,2017-12-01,
5,5,1,OLD,20040695,이프 온리,2004-10-29,103468400,3.2,37972100,58,5772407200,12135,3239,36.4,894921,145,643,2017-12-01,
6,6,-1,OLD,20168221,저스티스 리그,2017-11-15,92376600,2.8,15429100,20.1,14033122795,11719,894,8.3,1710469,416,878,2017-12-01,
7,7,0,OLD,20179942,러빙 빈센트,2017-11-09,70446300,2.2,9897300,16.3,1960679200,8440,147,1.8,247853,185,392,2017-12-01,
8,8,0,OLD,20175121,토르: 라그나로크,2017-10-25,62549500,1.9,15917700,34.1,38776855695,7879,1372,21.1,4797392,228,349,2017-12-01,
9,9,0,OLD,20174622,해피 데스데이,2017-11-08,46438673,1.4,9856673,26.9,10803332728,6029,996,19.8,1357033,270,515,2017-12-01,
10,10,4,OLD,20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,2008-04-09,8888400,0.3,2770900,45.3,1878730700,1246,363,41.1,282717,57,99,2017-12-01,
1,1,0,OLD,20165748,꾼,2017-11-22,1152412273,51.9,253979073,28.3,18971313621,141883,17484,14.1,2466217,981,4734,2017-12-01,K
2,2,0,OLD,20173581,기억의 밤,2017-11-29,719096972,32.4,216855572,43.2,1825549872,89649,20321,29.3,263358,728,3369,2017-12-01,K
3,3,0,OLD,20161762,반드시 잡는다,2017-11-29,304962845,13.7,40260745,15.2,986335645,38542,1116,3,143142,565,2452,2017-12-01,K
4,4,32,OLD,20178461,내 친구 정일우,2017-10-26,4587000,0.2,4569000,25383.3,74640900,1141,1137,28425,11661,8,14,2017-12-01,K
5,5,1,OLD,20175441,채비,2017-11-09,8063500,0.4,3408000,73.2,1182685164,1098,247,29,164631,30,33,2017-12-01,K
6,6,-1,OLD,20172742,범죄도시,2017-10-03,7219900,0.3,607900,9.2,56270826149,867,-45,-4.9,6874159,49,66,2017-12-01,K
7,7,5,OLD,20173903,역모-반란의 시대,2017-11-23,1755000,0.1,-145000,-7.6,203671100,305,6,2,27842,17,21,2017-12-01,K
8,8,1,OLD,20172603,부라더,2017-11-02,1622500,0.1,-398000,-19.7,11768657698,300,-69,-18.7,1490350,12,12,2017-12-01,K
9,8,2,OLD,20168754,7호실,2017-11-15,2352900,0.1,-144200,-5.8,2655552939,300,-51,-14.5,344290,15,25,2017-12-01,K
10,10,13,OLD,20175208,뷰티풀 투모로우,2017-10-26,1599500,0.1,933500,140.2,545277200,221,136,160,62331,1,2,2017-12-01,K
1,1,0,OLD,20178581,오리엔트 특급 살인,2017-11-29,578369155,54.8,137352755,31.1,1585473455,70962,10198,16.8,227167,663,2914,2017-12-01,F
2,2,1,OLD,20040695,이프 온리,2004-10-29,103468400,9.8,37972100,58,5772407200,12135,3239,36.4,894921,145,643,2017-12-01,F
3,3,-1,OLD,20168221,저스티스 리그,2017-11-15,92376600,8.7,15429100,20.1,14033122795,11719,894,8.3,1710469,416,878,2017-12-01,F
4,4,0,OLD,20179942,러빙 빈센트,2017-11-09,70446300,6.7,9897300,16.3,1960679200,8440,147,1.8,247853,185,392,2017-12-01,F
5,5,0,OLD,20175121,토르: 라그나로크,2017-10-25,62549500,5.9,15917700,34.1,38776855695,7879,1372,21.1,4797392,228,349,2017-12-01,F
6,6,0,OLD,20174622,해피 데스데이,2017-11-08,46438673,4.4,9856673,26.9,10803332728,6029,996,19.8,1357033,270,515,2017-12-01,F
7,7,2,OLD,20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,2008-04-09,8888400,0.8,2770900,45.3,1878730700,1246,363,41.1,282717,57,99,2017-12-01,F
8,8,-1,OLD,20174778,하이큐!! 재능과 센스,2017-11-15,7262000,0.7,-9950000,-57.8,210181500,965,-1565,-61.9,29701,44,60,2017-12-01,F
9,9,1,OLD,20174073,빅 배드 폭스,2017-11-30,6190000,0.6,317000,5.4,17223000,887,59,7.1,2360,110,115,2017-12-01,F
10,10,3,OLD,20175811,토마스와 친구들: 그레이트 레이스,2017-11-30,4780700,0.5,585300,14,12086100,653,17,2.7,1640,127,137,2017-12-01,F
1,1,0,OLD,20165748,꾼,2017-11-22,2317118874,36.6,1164706601,101.1,21288432495,277291,135408,95.4,2743508,1006,5146,2017-12-02,
2,2,0,OLD,20173581,기억의 밤,2017-11-29,1301664153,20.5,582567181,81,3127214025,157883,68234,76.1,421241,747,3505,2017-12-02,
3,3,0,OLD,20178581,오리엔트 특급 살인,2017-11-29,1186744973,18.7,608375818,105.2,2772218428,141706,70744,99.7,368873,700,3317,2017-12-02,
4,4,0,OLD,20161762,반드시 잡는다,2017-11-29,544461227,8.6,239498382,78.5,1530796872,66161,27619,71.7,209303,518,2318,2017-12-02,
5,5,1,OLD,20168221,저스티스 리그,2017-11-15,193044800,3.0,100668200,109,14226167595,23699,11980,102.2,1734168,413,795,2017-12-02,
6,6,-1,OLD,20040695,이프 온리,2004-10-29,171837600,2.7,68369200,66.1,5944244800,19830,7695,63.4,914751,164,697,2017-12-02,
7,7,0,OLD,20179942,러빙 빈센트,2017-11-09,120926400,1.9,50480100,71.7,2081605600,14284,5844,69.2,262137,184,393,2017-12-02,
8,8,0,OLD,20175121,토르: 라그나로크,2017-10-25,108838400,1.7,46288900,74,38885694095,13158,5279,67,4810550,205,307,2017-12-02,
