rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20168261,원더 우먼,2017-05-31,918976500,33.5,-395234700,-30.1,2265289700,116912,-90032,-43.5,327172,913,4164,2017-06-01,
2,2,0,OLD,20169348,대립군,2017-05-31,532286700,19.4,-268622700,-33.5,1427630700,73171,-63069,-46.3,220155,776,3447,2017-06-01,
3,3,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,507501000,18.5,-245711300,-32.6,15827160120,67078,-55331,-45.2,1932196,710,3040,2017-06-01,
4,4,0,OLD,20174602,노무현입니다,2017-05-25,365275400,13.3,-99702200,-21.4,6817519112,50155,-28425,-36.2,873954,593,2205,2017-06-01,
5,5,0,OLD,20175262,겟 아웃,2017-05-17,201343500,7.4,-30562800,-13.2,15195584675,26331,-12771,-32.7,1864924,434,1290,2017-06-01,
6,6,1,OLD,20174803,7번째 내가 죽던 날,2017-05-31,30172500,1.1,114500,0.4,69033500,4125,-687,-14.3,10076,230,421,2017-06-01,
7,7,-1,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,27554800,1.0,-8653000,-23.9,7220328125,3779,-2120,-35.9,894556,179,268,2017-06-01,
8,8,0,NEW,20162629,하이큐!! 끝과 시작,2016-11-16,22345000,0.8,22345000,100,567191000,3091,3091,100,78795,73,134,2017-06-01,
9,9,-1,OLD,20173642,너와 100번째 사랑,2017-05-25,21572500,0.8,2222500,11.5,337172300,2879,-459,-13.8,43239,108,181,2017-06-01,
10,10,0,NEW,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,16030100,0.6,16030100,100,20188100,2314,2314,100,2776,107,143,2017-06-01,
1,1,0,OLD,20169348,대립군,2017-05-31,532286700,55.5,-268622700,-33.5,1427630700,73171,-63069,-46.3,220155,776,3447,2017-06-01,K
2,2,0,OLD,20174602,노무현입니다,2017-05-25,365275400,38.1,-99702200,-21.4,6817519112,50155,-28425,-36.2,873954,593,2205,2017-06-01,K
3,3,0,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,27554800,2.9,-8653000,-23.9,7220328125,3779,-2120,-35.9,894556,179,268,2017-06-01,K
4,4,0,OLD,20160483,꿈의 제인,2017-05-31,8557500,0.9,-5275000,-38.1,36138500,1150,-650,-36.1,4533,86,152,2017-06-01,K
5,5,5,OLD,20168041,용순,2017-06-08,3045000,0.3,1535000,101.7,4555000,609,307,101.7,911,2,2,2017-06-01,K
6,6,15,OLD,20175581,파워배틀 와치카: 와치가면의 역습,2017-06-01,3552500,0.4,3272500,1168.8,15480500,546,506,1265,1947,112,123,2017-06-01,K
7,7,-2,OLD,20177223,청춘 합창단 - 또 하나의 꿈,2017-06-15,3968000,0.4,-2272000,-36.4,10208000,496,-284,-36.4,1276,2,2,2017-06-01,K
8,8,0,NEW,20162972,델타 보이즈,2017-06-08,2856000,0.3,2856000,100,6832300,357,357,100,942,2,2,2017-06-01,K
9,9,-3,OLD,20162722,보안관,2017-05-03,1724500,0.2,-2354000,-57.7,20810658509,260,-409,-61.1,2582936,18,25,2017-06-01,K
10,10,0,NEW,20149571,중독노래방,2017-06-15,1888000,0.2,1888000,100,1888000,240,240,100,240,2,2,2017-06-01,K
1,1,0,OLD,20168261,원더 우먼,2017-05-31,918976500,51.6,-395234700,-30.1,2265289700,116912,-90032,-43.5,327172,913,4164,2017-06-01,F
2,2,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,507501000,28.5,-245711300,-32.6,15827160120,67078,-55331,-45.2,1932196,710,3040,2017-06-01,F
3,3,0,OLD,20175262,겟 아웃,2017-05-17,201343500,11.3,-30562800,-13.2,15195584675,26331,-12771,-32.7,1864924,434,1290,2017-06-01,F
4,4,0,OLD,20174803,7번째 내가 죽던 날,2017-05-31,30172500,1.7,114500,0.4,69033500,4125,-687,-14.3,10076,230,421,2017-06-01,F
5,5,0,NEW,20162629,하이큐!! 끝과 시작,2016-11-16,22345000,1.3,22345000,100,567191000,3091,3091,100,78795,73,134,2017-06-01,F
6,6,-1,OLD,20173642,너와 100번째 사랑,2017-05-25,21572500,1.2,2222500,11.5,337172300,2879,-459,-13.8,43239,108,181,2017-06-01,F
7,7,0,NEW,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,16030100,0.9,16030100,100,20188100,2314,2314,100,2776,107,143,2017-06-01,F
8,8,-1,OLD,20174061,보스 베이비,2017-05-03,9129000,0.5,-4752500,-34.2,18200338004,1419,-866,-37.9,2352455,77,96,2017-06-01,F
9,9,56,OLD,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,9342500,0.5,9330500,77754.2,12000500,1411,1409,70450,1791,96,111,2017-06-01,F
10,10,29,OLD,20175142,극장판 쿠로코의 농구 라스트 게임,2017-04-27,7500500,0.4,7188500,2304,404607500,1073,1028,2284.4,54670,32,39,2017-06-01,F
1,1,0,OLD,20168261,원더 우먼,2017-05-31,1338334495,35.6,419357995,45.6,3603624195,154172,37260,31.9,481344,958,4352,2017-06-02,
2,2,1,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,753973405,20.1,246472405,48.6,16581133525,89719,22641,33.8,2021915,722,3106,2017-06-02,
3,3,-1,OLD,20169348,대립군,2017-05-31,693724105,18.5,161437405,30.3,2121354805,85851,12680,17.3,306006,786,3419,2017-06-02,
4,4,0,OLD,20174602,노무현입니다,2017-05-25,486686800,13.0,121411400,33.2,7304205912,59584,9429,18.8,933538,598,2293,2017-06-02,
5,5,0,OLD,20175262,겟 아웃,2017-05-17,269545800,7.2,68202300,33.9,15465130475,31940,5609,21.3,1896864,457,1291,2017-06-02,
6,6,0,OLD,20174803,7번째 내가 죽던 날,2017-05-31,38301900,1.0,8129400,26.9,107335400,4721,596,14.4,14797,226,418,2017-06-02,
7,7,0,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,32924600,0.9,5369800,19.5,7253252725,3923,144,3.8,898479,168,264,2017-06-02,
8,8,1,OLD,20173642,너와 100번째 사랑,2017-05-25,24753500,0.7,3181000,14.7,361925800,2957,78,2.7,46196,114,189,2017-06-02,
9,9,1,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,12717900,0.3,-3312200,-20.7,32906000,1600,-714,-30.9,4376,104,132,2017-06-02,
10,10,1,OLD,20174061,보스 베이비,2017-05-03,10251000,0.3,1122000,12.3,18210589004,1493,74,5.2,2353948,81,99,2017-06-02,
1,1,0,OLD,20169348,대립군,2017-05-31,693724105,55.9,161437405,30.3,2121354805,85851,12680,17.3,306006,786,3419,2017-06-02,K
2,2,0,OLD,20174602,노무현입니다,2017-05-25,486686800,39.2,121411400,33.2,7304205912,59584,9429,18.8,933538,598,2293,2017-06-02,K
3,3,0,OLD,20164844,불한당: 나쁜 놈들의 세상,2017-05-17,32924600,2.7,5369800,19.5,7253252725,3923,144,3.8,898479,168,264,2017-06-02,K
4,4,0,OLD,20160483,꿈의 제인,2017-05-31,11859500,1.0,3302000,38.6,47998000,1386,236,20.5,5919,78,148,2017-06-02,K
5,5,13,OLD,20173301,"서서평, 천천히 평온하게",2017-04-26,4505000,0.4,3804000,542.7,742504500,845,744,736.6,100847,16,20,2017-06-02,K
6,6,0,OLD,20175581,파워배틀 와치카: 와치가면의 역습,2017-06-01,4152900,0.3,600400,16.9,19633400,556,10,1.8,2503,121,130,2017-06-02,K
7,7,-2,OLD,20168041,용순,2017-06-08,1915000,0.2,-1130000,-37.1,6470000,383,-226,-37.1,1294,1,1,2017-06-02,K
8,8,0,NEW,20136018,꿈, ,674000,0.1,674000,100,1094000,337,337,100,547,1,5,2017-06-02,K
9,9,0,OLD,20162722,보안관,2017-05-03,1138000,0.1,-586500,-34,20811796509,136,-124,-47.7,2583072,18,20,2017-06-02,K
10,10,2,OLD,20162871,특별시민,2017-04-26,500000,0.0,-440000,-46.8,10489268945,100,-88,-46.8,1361534,5,5,2017-06-02,K
1,1,0,OLD,20168261,원더 우먼,2017-05-31,1338334495,53.2,419357995,45.6,3603624195,154172,37260,31.9,481344,958,4352,2017-06-02,F
2,2,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,753973405,30.0,246472405,48.6,16581133525,89719,22641,33.8,2021915,722,3106,2017-06-02,F
3,3,0,OLD,20175262,겟 아웃,2017-05-17,269545800,10.7,68202300,33.9,15465130475,31940,5609,21.3,1896864,457,1291,2017-06-02,F
4,4,0,OLD,20174803,7번째 내가 죽던 날,2017-05-31,38301900,1.5,8129400,26.9,107335400,4721,596,14.4,14797,226,418,2017-06-02,F
5,5,1,OLD,20173642,너와 100번째 사랑,2017-05-25,24753500,1.0,3181000,14.7,361925800,2957,78,2.7,46196,114,189,2017-06-02,F
6,6,1,OLD,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,12717900,0.5,-3312200,-20.7,32906000,1600,-714,-30.9,4376,104,132,2017-06-02,F
7,7,1,OLD,20174061,보스 베이비,2017-05-03,10251000,0.4,1122000,12.3,18210589004,1493,74,5.2,2353948,81,99,2017-06-02,F
8,8,-3,OLD,20162629,하이큐!! 끝과 시작,2016-11-16,10127500,0.4,-12217500,-54.7,577318500,1249,-1842,-59.6,80044,70,123,2017-06-02,F
9,9,0,OLD,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,6976000,0.3,-2366500,-25.3,18976500,1051,-360,-25.5,2842,96,111,2017-06-02,F
10,10,1,OLD,20163603,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,5830600,0.2,2123600,57.3,23415806186,687,176,34.4,2731161,33,36,2017-06-02,F
1,1,0,OLD,20168261,원더 우먼,2017-05-31,3095098603,37.0,1756764108,131.3,6698722798,356552,202380,131.3,837896,1030,4723,2017-06-03,
2,2,0,OLD,20170982,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1819417797,21.7,1065444392,141.3,18400551322,215180,125461,139.8,2237095,756,3220,2017-06-03,
