rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
10,10,2,OLD,20171801,극장판 암살교실 : 365일의 시간,2017-03-23,18383500,0.3,-888500,-4.6,189289500,2469,-162,-6.2,25498,65,84,2017-04-02,
1,1,0,OLD,20162181,프리즌,2017-03-23,1538943500,68.9,-399696680,-20.6,17998546640,178045,-46484,-20.7,2214824,881,3766,2017-04-02,K
2,2,0,OLD,20151230,원라인,2017-03-29,572810800,25.7,-134370320,-19,2226421333,69577,-16425,-19.1,291031,558,1838,2017-04-02,K
3,3,0,OLD,20167902,보통사람,2017-03-23,100369500,4.5,-16748800,-14.3,2839343823,12477,-2233,-15.2,366697,365,592,2017-04-02,K
4,4,0,OLD,20179442,밤의 해변에서 혼자,2017-03-23,20015800,0.9,-6381900,-24.2,314676800,2455,-718,-22.6,40725,63,156,2017-04-02,K
5,5,6,OLD,20144257,안녕 자두야 스페셜 : 인어공주 , ,100000,0.0,-2000,-2,212000,50,-1,-2,106,1,5,2017-04-02,K
6,6,6,OLD,20172401,왕을 참하라,2017-03-16,334000,0.0,34000,11.3,32175800,34,4,13.3,4188,1,1,2017-04-02,K
7,7,11,OLD,20154802,아티스트: 다시 태어나다,2017-03-09,143000,0.0,136000,1942.9,45160600,19,18,1800,6034,3,3,2017-04-02,K
8,8,6,OLD,20150971,해빙,2017-03-01,133500,0.0,79500,147.2,9898276822,16,10,166.7,1203639,4,4,2017-04-02,K
9,9,4,OLD,20172601,만담강호,2017-03-22,74500,0.0,-12500,-14.4,9288000,12,0,0,1165,7,7,2017-04-02,K
10,10,0,OLD,20158799,눈길,2017-03-01,61000,0.0,-233000,-79.3,965610100,8,-47,-85.5,128970,3,3,2017-04-02,K
1,1,0,OLD,20164721,미녀와 야수,2017-03-16,1989683400,54.7,-563552420,-22.1,33739003676,239654,-66660,-21.8,4097371,1123,4362,2017-04-02,F
2,2,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,1141560200,31.4,-427196271,-27.2,4708893037,129863,-47228,-26.7,569701,759,3589,2017-04-02,F
3,3,0,OLD,20167363,히든 피겨스,2017-03-23,223360000,6.1,-58471500,-20.7,2291143533,26517,-6935,-20.7,287487,340,700,2017-04-02,F
