rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,7715149100,52.9,-853021100,-10,76065645532,916652,-107305,-10.5,9456147,1644,7957,2018-01-01,
2,2,0,OLD,20170590,1987,2017-12-27,4460462100,30.6,-224621200,-4.8,19714466137,531469,-28577,-5.1,2473546,1097,4982,2018-01-01,
3,3,0,OLD,20170402,강철비,2017-12-14,944228600,6.5,-48816300,-4.9,32939126166,114298,-6548,-5.4,4128591,602,1451,2018-01-01,
4,4,0,OLD,20179462,위대한 쇼맨,2017-12-20,509947700,3.5,25348100,5.2,7166974900,60070,2402,4.2,874655,432,843,2018-01-01,
5,5,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,262886500,1.8,-7375400,-2.7,3380416200,34103,-1037,-3,449358,417,605,2018-01-01,
6,6,0,OLD,20176082,몬스터 패밀리,2017-12-21,205793300,1.4,4588900,2.3,2736976000,26521,128,0.5,368135,342,463,2018-01-01,
7,7,0,OLD,20176947,원더,2017-12-27,158549600,1.1,-12511700,-7.3,790939300,19322,-1612,-7.7,101002,183,378,2018-01-01,
8,8,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,109207600,0.7,60400,0.1,5958096200,13750,-3,0,787493,195,270,2018-01-01,
9,9,0,OLD,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,47882900,0.3,-4968200,-9.4,327731800,5940,-693,-10.4,42390,166,246,2018-01-01,
10,10,0,OLD,20170443,스타워즈: 라스트 제다이,2017-12-14,35090500,0.2,-4164800,-10.6,8570976561,3298,-357,-9.8,949845,35,42,2018-01-01,
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,7715149100,58.3,-853021100,-10,76065645532,916652,-107305,-10.5,9456147,1644,7957,2018-01-01,_K
2,2,0,OLD,20170590,1987,2017-12-27,4460462100,33.7,-224621200,-4.8,19714466137,531469,-28577,-5.1,2473546,1097,4982,2018-01-01,_K
3,3,0,OLD,20170402,강철비,2017-12-14,944228600,7.1,-48816300,-4.9,32939126166,114298,-6548,-5.4,4128591,602,1451,2018-01-01,_K
4,4,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,109207600,0.8,60400,0.1,5958096200,13750,-3,0,787493,195,270,2018-01-01,_K
5,5,2,OLD,20176769,광인옥한흠,2017-12-28,3171000,0.0,2273500,253.3,15236500,372,262,238.2,2009,11,12,2018-01-01,_K
6,6,0,NEW,20110014,연산군,1962-01-01,442000,0.0,442000,100,11821000,228,228,100,5735,1,3,2018-01-01,_K
7,7,-1,OLD,20165748,꾼,2017-11-22,500000,0.0,-250000,-33.3,31312529795,100,-50,-33.3,4018135,5,5,2018-01-01,_K
8,8,2,OLD,20174663,돌아온다,2017-12-07,419000,0.0,-72000,-14.7,83268300,68,-8,-10.5,12819,4,5,2018-01-01,_K
9,8,3,OLD,20174601,초행,2017-12-07,543000,0.0,61000,12.7,52262500,68,4,6.3,6759,9,11,2018-01-01,_K
10,10,-1,OLD,20160477,나의 연기 워크샵,2017-12-28,399500,0.0,-235500,-37.1,6512500,51,-34,-40,859,8,9,2018-01-01,_K
1,1,0,OLD,20179462,위대한 쇼맨,2017-12-20,509947700,38.0,25348100,5.2,7166974900,60070,2402,4.2,874655,432,843,2018-01-01,_F
2,2,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,262886500,19.6,-7375400,-2.7,3380416200,34103,-1037,-3,449358,417,605,2018-01-01,_F
3,3,0,OLD,20176082,몬스터 패밀리,2017-12-21,205793300,15.3,4588900,2.3,2736976000,26521,128,0.5,368135,342,463,2018-01-01,_F
4,4,0,OLD,20176947,원더,2017-12-27,158549600,11.8,-12511700,-7.3,790939300,19322,-1612,-7.7,101002,183,378,2018-01-01,_F
5,5,0,OLD,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,47882900,3.6,-4968200,-9.4,327731800,5940,-693,-10.4,42390,166,246,2018-01-01,_F
6,6,0,OLD,20170443,스타워즈: 라스트 제다이,2017-12-14,35090500,2.6,-4164800,-10.6,8570976561,3298,-357,-9.8,949845,35,42,2018-01-01,_F
7,7,0,OLD,20176049,패터슨,2017-12-21,23044100,1.7,-1269300,-5.2,260880400,2644,-173,-6.1,31921,36,74,2018-01-01,_F
8,8,0,OLD,20179942,러빙 빈센트,2017-11-09,21478000,1.6,-705400,-3.2,3082934861,2432,-137,-5.3,386972,42,57,2018-01-01,_F
9,9,0,OLD,20134046,월터의 상상은 현실이 된다,2013-12-31,19986000,1.5,-885100,-4.2,6968500599,2257,-149,-6.2,952660,74,105,2018-01-01,_F
10,10,0,OLD,20176022,더 크리스마스,2017-12-21,12804700,1.0,1020000,8.7,474590200,1570,68,4.5,63652,56,59,2018-01-01,_F
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,2205440800,44.5,-5509708300,-71.4,78271086332,294339,-622313,-67.9,9750486,1446,7019,2018-01-02,
2,2,0,OLD,20170590,1987,2017-12-27,1643436600,33.1,-2817025500,-63.2,21357902737,217247,-314222,-59.1,2690793,1063,5044,2018-01-02,
3,3,0,OLD,20170402,강철비,2017-12-14,358149600,7.2,-586079000,-62.1,33297275766,48122,-66176,-57.9,4176713,580,1541,2018-01-02,
4,4,0,OLD,20179462,위대한 쇼맨,2017-12-20,269239500,5.4,-240708200,-47.2,7436214400,35177,-24893,-41.4,909832,444,949,2018-01-02,
5,5,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,123797500,2.5,-139089000,-52.9,3504213700,17929,-16174,-47.4,467287,371,510,2018-01-02,
6,6,0,OLD,20176082,몬스터 패밀리,2017-12-21,86870000,1.8,-118923300,-57.8,2823846000,12678,-13843,-52.2,380813,298,386,2018-01-02,
7,7,0,OLD,20176947,원더,2017-12-27,85593600,1.7,-72956000,-46,876532900,11397,-7925,-41,112399,173,512,2018-01-02,
8,8,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,50359500,1.0,-58848100,-53.9,6008455700,7200,-6550,-47.6,794693,156,217,2018-01-02,
9,9,0,OLD,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,23536500,0.5,-24346400,-50.8,351268300,3305,-2635,-44.4,45695,148,225,2018-01-02,
10,10,0,OLD,20170443,스타워즈: 라스트 제다이,2017-12-14,38460000,0.8,3369500,9.6,8609436561,2913,-385,-11.7,952758,37,63,2018-01-02,
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,2205440800,51.7,-5509708300,-71.4,78271086332,294339,-622313,-67.9,9750486,1446,7019,2018-01-02,_K
2,2,0,OLD,20170590,1987,2017-12-27,1643436600,38.5,-2817025500,-63.2,21357902737,217247,-314222,-59.1,2690793,1063,5044,2018-01-02,_K
3,3,0,OLD,20170402,강철비,2017-12-14,358149600,8.4,-586079000,-62.1,33297275766,48122,-66176,-57.9,4176713,580,1541,2018-01-02,_K
4,4,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,50359500,1.2,-58848100,-53.9,6008455700,7200,-6550,-47.6,794693,156,217,2018-01-02,_K
5,5,0,NEW,20175830,돌아와요 부산항애(愛),2018-01-17,2758000,0.1,2758000,100,17758000,436,436,100,2227,8,8,2018-01-02,_K
6,6,-1,OLD,20176769,광인옥한흠,2017-12-28,949700,0.0,-2221300,-70.1,16186200,134,-238,-64,2143,12,15,2018-01-02,_K
7,7,-1,OLD,20110014,연산군,1962-01-01,210000,0.0,-232000,-52.5,12031000,109,-119,-52.2,5844,1,3,2018-01-02,_K
8,8,0,NEW,19748089,실록 김두한,1974-12-22,212000,0.0,212000,100,4627000,106,106,100,2311,1,2,2018-01-02,_K
9,9,-2,OLD,20165748,꾼,2017-11-22,500000,0.0,0,0,31313029795,100,0,0,4018235,5,5,2018-01-02,_K
10,10,1,OLD,20173581,기억의 밤,2017-11-29,250000,0.0,0,0,10647154660,50,0,0,1386711,5,5,2018-01-02,_K
1,1,0,OLD,20179462,위대한 쇼맨,2017-12-20,269239500,38.7,-240708200,-47.2,7436214400,35177,-24893,-41.4,909832,444,949,2018-01-02,_F
2,2,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,123797500,17.8,-139089000,-52.9,3504213700,17929,-16174,-47.4,467287,371,510,2018-01-02,_F
3,3,0,OLD,20176082,몬스터 패밀리,2017-12-21,86870000,12.5,-118923300,-57.8,2823846000,12678,-13843,-52.2,380813,298,386,2018-01-02,_F
4,4,0,OLD,20176947,원더,2017-12-27,85593600,12.3,-72956000,-46,876532900,11397,-7925,-41,112399,173,512,2018-01-02,_F
